x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2,continuous
,,,meta,meta,meta
1.4883821,-0.005904818,36.0,access,C1,0.7355452948719328
0.061063863,-0.019069573,11.0,waited,C1,0.7363511975820762
2.0136786,-0.050001573,54.0,hand,C1,0.7303255578093399
0.11201441,0.027936533,10.0,hobo,C1,0.736478147010032
1.4149219,0.32729137,256.0,opening,C1,0.6971504013388319
-0.034500625,-0.03384343,13.0,midnight,C1,0.7352852770319955
3.761203,0.007340722,114.0,say,C1,0.7030112499887549
0.6237275,-0.02697851,15.0,publishing,C1,0.739856750985851
2.23538,0.16644964,72.0,platform,C1,0.7242103699913585
2.2351236,-0.13594009,64.0,help,C1,0.7276233601957052
0.3644196,-0.025629206,12.0,account,C1,0.7390686209049299
1.189197,-0.08195914,34.0,musedchat,C1,0.7380064702922622
0.9343104,-0.07180905,31.0,classical,C1,0.7393379494491337
0.78297114,-0.037821956,33.0,newtwitter,C1,0.7397140732853611
3.473236,-0.39627382,147.0,location,C1,0.705567047355207
2.0056627,-0.17015816,59.0,based,C1,0.7301308920152054
2.4402788,-0.111087896,74.0,fast,C1,0.7247810265752872
2.2513611,-0.18700516,102.0,future,C1,0.7247634914963514
0.74459064,-0.08949569,45.0,connect,C1,0.7389463403428176
3.0033147,-0.31740424,89.0,digital,C1,0.7163872568573716
1.1274666,-0.21845905,47.0,physical,C1,0.7363807750217226
2.3487697,-0.25383162,92.0,world,C1,0.724179150912142
1.2849141,-0.07619641,39.0,talking,C1,0.7373292815864616
1.0675073,-0.05318607,19.0,system,C1,0.7386139550366114
3.8882005,-0.21045987,138.0,tweet,C1,0.700877255869008
1.137244,-0.14743188,41.0,speak,C1,0.7376090365122837
0.39074224,-0.08386049,23.0,mark,C1,0.7389954823810525
0.36488488,-0.10904891,26.0,belinsky,C1,0.7384866707186991
4.0532694,-0.19238128,159.0,panel,C1,0.6962148236715826
1.8274982,-0.1104144,56.0,stop,C1,0.7322448450557975
1.0805523,-0.026442826,37.0,chance,C1,0.7385249838537313
0.8227623,-0.0117601305,22.0,kawasaki,C1,0.7396287303408211
4.055658,-0.1647131,144.0,talk,C1,0.6975455122658352
0.88203806,-0.06139596,31.0,internet,C1,0.7395445044726487
4.0574565,0.00435655,155.0,search,C1,0.6944959888535784
1.7577009,-0.27646184,95.0,heard,C1,0.7288584907355866
0.95783585,-0.042414423,31.0,pic,C1,0.7392784401101812
2.0848217,-0.059519164,74.0,already,C1,0.7286783521705036
3.5970347,-0.20163819,126.0,would,C1,0.7061299906181603
1.3926554,0.3910037,72.0,interesting,C1,0.7249535492355415
0.67858666,-0.06928704,27.0,actually,C1,0.7398911747933454
